x [cm], 	 0.69214285714285717077, 	 48.45000000000000284217, 	 96.20785714285715073402
0.00000000000000000000, 	 0.00000000000000000000, 	 0.00000000000000000000, 	 0.00000000000000000000
5.70020000000000059970, 	 83365.25205477196141146123, 	 87362.22547689201019238681, 	 85819.19087795098312199116
5.70130000000000070060, 	 83180.15420638355135452002, 	 87093.47603409130533691496, 	 85509.14754706610983703285
5.70239999999999991331, 	 82994.04046868419391103089, 	 86824.08580419806821737438, 	 85199.81140953350404743105
5.70350000000000001421, 	 82806.98838170993258245289, 	 86554.15326293822727166116, 	 84891.28778293648792896420
5.70460000000000011511, 	 82619.07420080192969180644, 	 86283.77508325924281962216, 	 84583.67510689943446777761
5.70570000000000021600, 	 82430.36444066757394466549, 	 86013.04609228477056603879, 	 84277.06514659557433333248
5.70680000000000031690, 	 82240.91727485772571526468, 	 85742.05928090398083440959, 	 83971.54404447015258483589
5.70790000000000041780, 	 82050.78636979803559370339, 	 85470.90582024031027685851, 	 83667.19401443141396157444
5.70900000000000051870, 	 81860.02417001333378721029, 	 85199.67508615167753305286, 	 83364.09345077791658695787
5.71010000000000061959, 	 81668.68397443823050707579, 	 84928.45470257729175500572, 	 83062.31741579060326330364
5.71119999999999983231, 	 81476.82106254591781180352, 	 84657.33056943512929137796, 	 82761.93800799343443941325
5.71229999999999993321, 	 81284.49351126108376774937, 	 84386.38687238910642918199, 	 82463.02457236900227144361
5.71340000000000003411, 	 81091.76361476826423313469, 	 84115.70608325138164218515, 	 82165.64381232754385564476
5.71450000000000013500, 	 80898.70108040496415924281, 	 83845.36896002189314458519, 	 81869.85984887444647029042
5.71560000000000023590, 	 80705.38934587876428849995, 	 83575.45454931270796805620, 	 81575.73425651741854380816
5.71670000000000033680, 	 80511.93632366605743300170, 	 83306.04018921336682979017, 	 81283.32605693247751332819
5.71780000000000043769, 	 80318.48911218464490957558, 	 83037.20151738298591226339, 	 80992.69164171420561615378
5.71890000000000053859, 	 80125.25842065138567704707, 	 82769.01246690721018239856, 	 80703.88510867694276385009
